Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",0,0,0,0,0
"Mar 03",0,0,0,0,0
"Mar 04",0,0,0,0,0
"Mar 05",0,0,0,0,0
"Mar 06",0,0,0,0,0
"Mar 07",0,0,0,0,0
"Mar 08",0,0,0,0,0
"Mar 09",0,0,0,0,0
"Mar 10",1,0,1,0,0
"Mar 11",1,0,1,0,0
"Mar 12",1,0,1,0,0
"Mar 13",5,4,5,0,0
"Mar 14",6,1,6,0,0
"Mar 15",18,12,18,0,0
"Mar 16",47,29,47,0,0
"Mar 17",98,51,97,1,0
"Mar 18",191,93,189,2,1
"Mar 19",359,168,355,4,2
"Mar 20",670,311,661,9,5
"Mar 21",947,277,926,21,12
"Mar 22",1236,289,1206,30,9
"Mar 23",1529,293,1492,37,7
"Mar 24",1872,343,1828,44,7
"Mar 25",2433,561,2348,59,15
"Mar 26",3629,1196,3528,75,16
"Mar 27",5698,2069,5564,92,17
"Mar 28",7402,1704,7224,108,16
"Mar 29",9217,1815,8981,131,23
"Mar 30",10827,1610,10497,168,37
"Mar 31",13531,2704,13074,214,46
"Apr 01",15679,2148,15069,277,63
"Apr 02",18135,2456,17364,356,79
"Apr 03",20921,2786,20012,425,69
"Apr 04",23934,3013,22647,501,76
"Apr 05",27069,3135,25453,574,73

